,user name,tweet
0,☁️,"heeeeey im relapsing and want more/ new moots as this account is so dead :D

&lt;3 she/her
&lt;3 sh and ed 
&lt;3 17,, no under 15 pls
&lt;3 gw is 45kg 

tags : #edtwt #ana #thinsp0 #fatsp0 #shtwt #owietwt #meanspo #proana #pr0ana (not proana just for tags &lt;3"
1,calorina,RT @45kilos2: new year new motivation to starve (*＾3＾)/～&lt;3 #edtwt #ana #proana #thinspo
2,Bee,"January accountability check 
I’m trying to stay below 600 today #edtwt #edtwtdiet #medres #thinspo #proana #anamia https://t.co/cjj155iWJ2"
3,💀Maxx💀,"RT @nxzobii: it’s better for you to stay hungry yk 
we all know u go insane and don’t know how to stop once u taste food

#sweetspo #proana…"
4,🌸Lilith🌸,This is my gf application for #edtwt bc I wanna date someone from #proana twt so bad
5,florencia,"Today's thinspo 🥺
#thinspo #thin #proana #promia #edtwt https://t.co/LztpPdbe0s"
6,Jordan 💞,RT @goremachines: a thigh gap is all i need rn #thinspo #thighgap #thighgal #skinny #proana #meanspo #edtwt #bonespo #ana https://t.co/ckI9…
7,lydia,RT @goremachines: 2022 resolution: get skinny #thinspo #thighgap #skinny #proana #meanspo #edtwt #bonespo #ana https://t.co/Vm3itx7hzv
8,star (relapse era),RT @minsthinspo: tags: #thinspo #armspo #legso #edtwt #proana #bonespo https://t.co/8OXXfzQXDV
9,Ciri 🇺🇸🐣🇬🇧💍,@YouTube @instagram @Twitch Stop promoting harmful #ProAna Content makers. #EugeniaCooney is very clearly body checking and doesn't care about the millions of young people who are also suffering from #DisorderedEating Start protecting the people who are at risk. https://t.co/cnrUimt8EB
10,Fat Cow,had 880 cal today I will do better tomorrow #edtwt #calories #anorexia #anorexic #edthings #proana
11,jovie,RT @EElanorEl: best ed films and tv shows: a thread 🖤 #promia #proana #EDtwt https://t.co/ZDRjKwW2sH
12,jovie,"can't imagine how powerfull i would feel if i looked like this
#proana #promia #bones #edtwt #hungry #skinny https://t.co/ao5BDEFBUt"
13,ً,tags: #thinspo #armspo #legso #edtwt #proana #bonespo https://t.co/8OXXfzQXDV
14,Lucky,"RT @saca_the_caca: Hey :) 
I’m Saka 
I recently “recovered” from my eating disorder and gained 23 lbs. From 82lbs to 105lbs  I want to go b…"
15,Lucky,"RT @saca_the_caca: 01/05/2022 
What I ate today: 
Sparkling water 5 cal
Coffee 0 cal
Lemonade w/ SF sugar 0 cal (x2)
Diet soda 0 cal (x2)…"
16,Lucky,"RT @saca_the_caca: 01/03/2022
What I ate today: 
Lemonade w/ SF sugar 0 cal
Black tea 0 cal
Chicken dumplings x13 (threw up right after) so…"
17,Lucky,"RT @R_NDOM_GRL: If this gets removed I’m kms 
#thinspo #ed #edtwt #proana #promia https://t.co/7S8sZJIHaK"
18,Saca,"01/06/2022
What I ate today: 
Apple sauce 50 cal
Coffee 0 cal
Lemonade 0 cal 
Tea (x2) 0 cal 
Diet GA 5 cal
Mini Cucumber (x3) 23 cal
Salad 150 cal
Pumpkin choc pudding 68 cal 
Exercise: -362 cal
NET: -66 cal
#edtwt #proana #thinspo #meanspo #sweetspo #ricecaketwt #ana #bonespo"
19,thinner,I ate two egg bites from Starbucks and a lean cuisine today. Had one peppermint iced coffee and two mountain dews. Gotta be strict tomorrow. #accountabilitypost #edtwt #proana #moots
20,Ana Winter,mommy arms were thin because i just my thighs #proana
21,liz,a thigh gap is all i need rn #thinspo #thighgap #thighgal #skinny #proana #meanspo #edtwt #bonespo #ana https://t.co/ckI9AXn0Ey
22,bubble girl,being hungry is the hardest at night 💀 but i did good today 100 cals only! &lt;3 #thinspo #fatspo #ana #proana #skinny #weightgoal #fat
